# event jet Delta kt z psi m2 multiplicity 
2 0 0.00706504 0.924335 0.157218 2.8063 17.2298 12
2 0 0.0057843 0.132526 0.032668 -1.12866 9.91615 8
2 0 0.00476515 0.459317 0.14208 0.550253 8.51231 7
2 0 0.00313651 0.700398 0.383662 1.16392 6.09235 6
2 0 0.0025919 0.0674662 0.0725604 -2.73879 1.58227 4
2 0 0.0015246 0.0943165 0.185943 -0.77749 1.4135 3
2 0 0.000938262 0.0360372 0.141814 0.0989562 1.03369 2
2 1 0.291549 0.285776 0.000980867 -0.541833 3387.11 36
2 1 0.263298 3.09442 0.0117718 1.82494 3040.71 34
2 1 0.175906 0.851777 0.00490772 0.690315 770.151 28
2 1 0.103504 3.64898 0.0359069 1.92916 563.161 24
2 1 0.0573368 0.927182 0.017083 2.67319 125.501 21
2 1 0.0336291 0.489825 0.0156545 0.519976 43.8319 17
2 1 0.0149189 1.20791 0.0884017 -2.65965 22.3857 15
2 1 0.0110541 0.0297379 0.00322215 -0.463143 3.92058 12
2 1 0.00942898 0.27987 0.0356658 1.62702 3.63526 11
2 1 0.00429057 0.00627814 0.00182326 -1.61059 0.936595 10
2 1 0.00398525 0.053328 0.0167042 0.707936 0.913348 9
2 1 0.00282699 0.0857015 0.0384863 -2.47953 0.733482 8
2 1 0.00152491 0.461146 0.399283 1.42281 0.52882 7
2 1 0.000979773 0.199381 0.447275 -0.729776 0.117006 4
2 1 0.000706516 0.0502438 0.282792 0.268921 0.033563 2
2 2 0.233109 0.959421 0.0183116 -1.10746 666.681 23
2 2 0.202941 1.53859 0.034337 3.03938 455.774 19
2 2 0.167308 0.340043 0.00953237 1.4633 294.422 16
2 2 0.15046 0.133945 0.00421528 0.0833025 151.235 14
2 2 0.117253 0.193809 0.00785957 -2.12359 141.804 13
2 2 0.0690981 3.2229 0.22345 3.02143 133.508 12
2 2 0.0630414 0.421561 0.0412532 -2.0424 18.1942 9
2 2 0.0461585 0.533573 0.0743781 -0.788703 13.4823 8
2 2 0.0362686 0.584292 0.111987 1.72992 9.16872 6
2 2 0.0215784 0.654924 0.237582 -2.32233 5.63581 4
