# event jet log1overDelta logkt z Delta kt
37 0 2.03587 0.0158902 0.360771 0.130567 1.01602
37 0 2.36714 -0.727972 0.373371 0.0937482 0.482887
37 0 2.58438 -1.63748 0.29804 0.075443 0.194469
38 0 1.20657 0.0801574 0.164382 0.299221 1.08346
38 0 1.54143 -1.31307 0.0682183 0.214074 0.268993
38 0 1.56408 -1.01074 0.101262 0.20928 0.363951
38 0 1.86783 -0.22608 0.333742 0.154458 0.797654
38 0 2.25093 -1.11144 0.303017 0.105302 0.329085
38 0 2.33996 -1.90197 0.215452 0.0963314 0.149274
38 0 4.08728 -3.62234 0.282117 0.0167848 0.02672
39 0 1.2457 -0.120781 0.143997 0.28774 0.886228
39 0 1.38964 -0.347729 0.154383 0.249164 0.70629
39 0 1.76025 -0.272982 0.284987 0.172003 0.761107
39 0 1.97609 -3.19189 0.0267045 0.13861 0.041094
39 0 2.27765 -0.896482 0.367868 0.102525 0.408002
40 0 1.11032 2.3697 0.229125 0.329455 10.6941
40 0 1.28286 2.51742 0.409329 0.277243 12.3966
40 0 1.83299 -0.0789666 0.0894561 0.159935 0.924071
40 0 2.17593 0.624083 0.279573 0.113502 1.86653
40 0 2.38143 -0.407905 0.169793 0.0924184 0.665042
40 0 2.39474 0.432144 0.479658 0.0911966 1.54056
40 0 3.05697 -2.35949 0.109609 0.04703 0.0944688
40 0 4.06228 -3.25984 0.136722 0.0172097 0.0383945
41 0 0.991013 2.42706 0.40833 0.3712 11.3255
41 0 1.39032 -1.38327 0.0227684 0.248996 0.250756
41 0 1.64222 0.860858 0.281652 0.193549 2.36519
41 0 2.20889 -2.533 0.0232018 0.109823 0.0794204
41 0 2.39522 -0.145855 0.311299 0.0911524 0.864283
41 0 2.53483 -0.358455 0.420016 0.0792754 0.698755
49 0 1.64874 0.40089 0.132969 0.192293 1.49315
49 0 2.25113 0.202672 0.229724 0.10528 1.22467
49 0 2.48423 0.11968 0.346298 0.0833894 1.12714
49 0 2.77326 -0.714659 0.307056 0.0624583 0.489359
49 0 3.53635 -1.46048 0.450816 0.0291194 0.232125
52 0 1.37276 -2.89732 0.00625161 0.253407 0.055171
52 0 1.51778 0.137952 0.150861 0.219198 1.14792
52 0 2.01117 -1.35 0.0656922 0.133831 0.259239
52 0 2.26083 -0.528939 0.204979 0.104264 0.58923
