# event jet log1overDelta logkt z Delta kt
24 0 1.80717 1.04938 0.249192 0.164117 2.85588
24 0 2.63267 -2.7473 0.0170069 0.0718862 0.0641005
25 0 1.22541 1.57757 0.141804 0.293637 4.84317
25 0 1.30266 1.56769 0.176672 0.271808 4.79558
25 0 1.37394 -1.84801 0.00756876 0.253109 0.157551
25 0 2.01306 1.32683 0.345403 0.133579 3.76906
25 0 2.73085 0.401261 0.428655 0.0651636 1.49371
26 0 0.981677 -3.86339 0.000124849 0.374682 0.0209968
26 0 1.538 -3.74884 0.000244225 0.214811 0.023545
26 0 2.0831 2.29042 0.176739 0.124543 9.87904
26 0 2.20512 2.07612 0.195702 0.110238 7.97347
26 0 2.31294 2.36109 0.360189 0.0989701 10.6025
26 0 3.17227 0.893591 0.306435 0.0419083 2.44389
27 0 1.37689 2.20749 0.150279 0.252362 9.09286
27 0 2.03129 1.04967 0.106852 0.131167 2.8567
27 0 2.18545 1.61545 0.245662 0.112427 5.03015
27 0 3.26852 0.731695 0.397451 0.0380628 2.0786
28 0 0.946 3.51287 0.256289 0.388291 33.5444
28 0 1.35578 -0.895898 0.00631792 0.257746 0.408241
28 0 1.37201 -6.98744 1.46169e-05 0.253595 0.000923409
28 0 1.50908 0.141301 0.0208999 0.221113 1.15177
28 0 1.58558 -2.39161 0.00183022 0.20483 0.0914827
28 0 2.03706 2.06219 0.24721 0.130412 7.86317
28 0 2.08523 1.61531 0.220406 0.124278 5.02947
28 0 2.94537 -4.3602 0.00169738 0.0525824 0.0127759
29 0 1.11766 -1.52292 0.00139287 0.327045 0.218075
29 0 1.61571 2.97113 0.204812 0.19875 19.514
29 0 2.18344 2.00339 0.172535 0.112653 7.41418
29 0 2.56018 -3.46299 0.00128446 0.077291 0.031336
30 0 1.18701 3.26756 0.325402 0.305133 26.2472
30 0 1.75665 1.90368 0.217595 0.172623 6.71051
30 0 3.72204 -0.0845038 0.271843 0.0241846 0.918968
31 0 0.94907 2.16947 0.0927141 0.387101 8.7536
31 0 1.29358 -2.62272 0.00119614 0.274288 0.0726053
31 0 1.3866 -2.66281 0.00126261 0.249924 0.0697518
31 0 1.79815 -3.73309 0.000654243 0.165605 0.0239189
31 0 2.05886 1.62592 0.180427 0.127599 5.08311
31 0 2.09316 1.64418 0.231945 0.123297 5.17675
31 0 3.51218 -0.170301 0.203337 0.0298318 0.843411
32 0 0.925412 1.31925 0.018327 0.396368 3.74061
32 0 1.13903 -2.24186 0.000656631 0.32013 0.106261
32 0 2.09852 -1.86337 0.00250429 0.122637 0.155149
32 0 2.7126 1.88918 0.197726 0.0663638 6.61393
32 0 3.24519 0.468872 0.101439 0.0389611 1.59819
32 0 3.7661 -0.0271859 0.115729 0.0231421 0.97318
32 0 4.49612 -0.425285 0.182391 0.0111522 0.653584
33 0 1.16134 -1.39239 0.0203749 0.313066 0.24848
34 0 0.96396 -2.05926 0.000828156 0.38138 0.127549
34 0 1.50602 -4.32715 0.000147555 0.221791 0.0132052
34 0 2.07044 2.01665 0.147636 0.12613 7.5131
34 0 2.17468 1.59465 0.126005 0.113645 4.92662
34 0 4.03812 0.54745 0.326099 0.0176306 1.72884
35 0 1.05864 -3.16015 0.000528545 0.346926 0.0424193
35 0 1.6418 2.20822 0.202637 0.193632 9.09953
35 0 2.10706 1.90732 0.299502 0.121595 6.73499
36 0 1.15339 1.60301 0.0871078 0.315567 4.96795
37 0 1.42398 1.79657 0.154295 0.240755 6.02895
37 0 1.80053 -1.91903 0.00647103 0.165211 0.146749
37 0 1.95731 1.76005 0.301676 0.141238 5.81272
37 0 2.3948 1.17705 0.373452 0.0911912 3.24478
38 0 1.27772 2.45347 0.0871647 0.278671 11.6287
38 0 1.51081 2.54319 0.131534 0.220732 12.7202
38 0 1.74889 1.43255 0.0632883 0.173968 4.18937
38 0 1.83883 1.52238 0.0808575 0.159003 4.58314
38 0 3.98843 1.01061 0.452496 0.0185289 2.74728
39 0 1.63698 1.57626 0.0609108 0.194567 4.83683
39 0 2.14214 2.24742 0.210175 0.117404 9.4633
39 0 2.60359 0.618528 0.0828014 0.0740073 1.85619
39 0 2.78571 1.85801 0.373915 0.0616854 6.41097
40 0 1.0833 2.48989 0.0756035 0.338475 12.0599
40 0 1.14406 1.71593 0.040058 0.318523 5.56183
40 0 1.45037 1.78191 0.0605494 0.234484 5.94119
40 0 1.97522 3.19785 0.448468 0.13873 24.4798
40 0 2.38326 1.93067 0.344087 0.0922492 6.89412
41 0 1.10375 1.52742 0.12214 0.331625 4.60628
41 0 1.8462 1.31422 0.236034 0.157836 3.72184
41 0 2.31125 1.2129 0.444132 0.0991377 3.36321
42 0 1.52016 1.41961 0.0412242 0.218676 4.13552
42 0 1.65985 0.60329 0.0218479 0.190167 1.82812
42 0 1.79902 3.11275 0.315674 0.165461 22.4828
42 0 1.98538 2.52298 0.30754 0.137329 12.4657
42 0 2.95782 1.56518 0.450642 0.051932 4.78353
42 0 3.64166 -0.354576 0.238354 0.0262088 0.701471
43 0 1.11907 2.3609 0.074109 0.326584 10.6005
43 0 2.03605 3.16204 0.44565 0.130543 23.6187
43 0 2.46124 1.87502 0.339322 0.0853288 6.52096
43 0 2.82216 0.0697978 0.121144 0.0594772 1.07229
44 0 1.49998 3.51654 0.270382 0.223134 33.6679
44 0 1.47553 2.82701 0.180874 0.228658 16.8948
44 0 2.19171 1.28921 0.0970934 0.111726 3.62993
44 0 2.17909 2.44262 0.336092 0.113144 11.5031
44 0 2.61597 0.445887 0.106385 0.0730966 1.56187
44 0 3.85046 0.252574 0.337203 0.0212701 1.28733
45 0 1.56878 2.66661 0.357846 0.208298 14.3911
45 0 2.0588 1.65795 0.331694 0.127607 5.24855
46 0 1.12781 -0.676718 0.00332701 0.323742 0.508282
46 0 1.37496 2.33228 0.0864472 0.25285 10.3014
46 0 2.3988 2.35112 0.268438 0.0908267 10.4974
46 0 2.57244 1.50558 0.187346 0.0763494 4.50678
47 0 0.987235 -0.882953 0.00235985 0.372606 0.41356
47 0 1.15469 -0.113951 0.00603255 0.315154 0.892301
47 0 2.04934 0.963613 0.0436133 0.12882 2.62115
47 0 2.51144 0.940344 0.0707151 0.0811514 2.56086
47 0 3.6507 1.55264 0.438563 0.025973 4.7239
48 0 1.08469 -1.76616 0.00351248 0.338007 0.170988
48 0 1.83638 -0.0982781 0.0396107 0.159393 0.906397
48 0 2.01696 -1.64623 0.0105073 0.133059 0.192776
48 0 2.0635 -0.916556 0.0230735 0.127009 0.399894
48 0 2.62423 -1.44113 0.0244874 0.0724955 0.23666
48 0 2.76551 -1.66392 0.0231369 0.0629441 0.189394
48 0 3.08222 -0.618203 0.0924986 0.0458572 0.538912
48 0 3.43797 -3.11343 0.0119985 0.0321298 0.0444484
48 0 3.71784 -2.72158 0.0237732 0.0242864 0.0657708
48 0 4.19855 -0.221723 0.479697 0.0150174 0.801137
49 0 1.06616 3.37989 0.155722 0.344328 29.3675
49 0 1.49511 1.57522 0.0465588 0.224225 4.83182
49 0 3.12838 1.78634 0.308775 0.0437885 5.96757
50 0 1.04578 -0.653436 0.0034889 0.351418 0.520255
50 0 1.77675 1.5678 0.0669975 0.169187 4.79609
50 0 2.20111 2.67126 0.330656 0.11068 14.4581
50 0 3.14429 1.09287 0.261724 0.0430973 2.98282
50 0 4.12363 0.20105 0.386927 0.0161856 1.22269
51 0 1.47024 -2.20753 0.00168581 0.22987 0.109972
51 0 2.00126 2.42156 0.294133 0.135164 11.2634
51 0 2.18942 1.76489 0.260636 0.111982 5.84094
52 0 1.20744 1.03386 0.0133819 0.298963 2.81191
52 0 1.64742 -0.254005 0.00580906 0.192546 0.775688
52 0 1.6481 1.09492 0.0225255 0.192415 2.98894
52 0 1.78411 -0.955082 0.00339879 0.167946 0.384781
52 0 2.28994 -2.6712 0.00101667 0.101273 0.0691693
52 0 2.31342 0.0391991 0.0156648 0.0989225 1.03998
52 0 2.34296 1.51903 0.0719718 0.096043 4.56781
52 0 2.96013 -0.214105 0.025406 0.051812 0.807264
52 0 3.19624 -0.97671 0.0153977 0.0409157 0.376548
52 0 3.42886 0.80509 0.11723 0.0324238 2.2369
