# event jet log1overDelta logkt z Delta kt
17 0 2.69591 -2.67337 0.0231202 0.0674809 0.0690191
17 0 2.83461 -0.179411 0.329131 0.0587415 0.835762
17 0 4.07647 -2.7511 0.129775 0.0169673 0.0638575
17 0 4.96649 -2.54017 0.448432 0.00696756 0.0788528
18 0 1.36549 -1.13573 0.035092 0.255257 0.321186
18 0 1.79942 -2.37465 0.0162593 0.165394 0.0930475
18 0 1.95069 0.574754 0.366904 0.142177 1.77669
18 0 2.81631 -1.77581 0.131257 0.059826 0.169346
18 0 3.30856 -1.21627 0.432526 0.0365687 0.296333
18 0 4.19693 -3.01776 0.305839 0.0150417 0.0489109
19 0 1.16528 0.83349 0.348757 0.311834 2.30134
19 0 1.17632 0.743499 0.491573 0.308412 2.10328
19 0 2.24722 -1.36533 0.342435 0.105692 0.255296
20 0 2.58527 -0.0653388 0.0158298 0.0753757 0.93675
20 0 2.87394 -0.039707 0.0220244 0.0564758 0.961071
20 0 3.55322 -1.31839 0.0123669 0.0286322 0.267566
20 0 3.77261 0.199737 0.0711624 0.0229919 1.22108
20 0 4.80403 -1.83415 0.0281152 0.00819668 0.159749
20 0 5.77576 -0.156476 0.409212 0.00310184 0.855152
20 0 5.89784 -1.41119 0.223164 0.00274536 0.243854
20 0 6.11053 -1.95135 0.207048 0.00221938 0.142082
21 0 0.969338 0.102274 0.0326116 0.379334 1.10769
21 0 1.69385 -0.678465 0.0318648 0.183811 0.507395
21 0 1.86934 -0.513753 0.0462502 0.154225 0.598246
21 0 1.93544 -0.183628 0.0720208 0.14436 0.832245
21 0 2.31121 0.119297 0.152912 0.0991413 1.1267
21 0 2.26864 0.744802 0.323284 0.103453 2.10602
21 0 2.6422 -0.610699 0.178908 0.0712042 0.542971
21 0 3.9466 -1.29684 0.404323 0.0193202 0.273396
21 0 4.43553 -2.71132 0.268999 0.0118488 0.0664489
21 0 5.99417 -4.36376 0.335039 0.00249325 0.0127304
22 0 0.929824 -0.590548 0.0459226 0.394623 0.554024
22 0 1.36185 -0.544562 0.0774746 0.256186 0.580096
22 0 1.42976 -1.35225 0.0400341 0.239365 0.258659
22 0 1.78025 -0.924523 0.0907818 0.168596 0.396721
22 0 1.9564 -1.8055 0.0493431 0.141366 0.164392
22 0 2.26569 -0.795831 0.19394 0.103758 0.451206
22 0 3.59178 -2.05151 0.258151 0.0275494 0.12854
23 0 1.1249 -4.12197 0.000245336 0.324683 0.0162125
23 0 1.38306 -0.818631 0.0086408 0.250809 0.441035
23 0 1.54407 -1.37822 0.00585033 0.21351 0.252028
23 0 1.78527 -0.260159 0.0229087 0.167752 0.770929
23 0 2.19627 1.11066 0.139183 0.111217 3.03637
23 0 2.31401 0.905962 0.148213 0.0988636 2.47431
23 0 2.90376 -0.674947 0.064579 0.0548169 0.509184
23 0 3.04452 -0.617569 0.0841586 0.0476191 0.539254
23 0 3.24266 -0.478896 0.128692 0.0390598 0.619467
23 0 3.51041 -0.518077 0.185625 0.0298847 0.595665
23 0 3.75909 0.00425575 0.492762 0.023305 1.00426
23 0 3.85487 -1.18461 0.325615 0.0211764 0.305867
24 0 0.972641 0.775065 0.0324051 0.378083 2.17073
24 0 1.22341 -1.19051 0.0060278 0.294227 0.304065
24 0 1.36378 -0.506137 0.0138287 0.255693 0.60282
24 0 1.79328 -0.442294 0.0229662 0.166413 0.642561
24 0 2.1101 -0.0609854 0.0472384 0.121226 0.940837
24 0 2.21715 -0.999152 0.0215951 0.108919 0.368191
24 0 2.33841 -1.72558 0.0120503 0.0964814 0.178069
24 0 2.78791 -0.39753 0.0721514 0.0615498 0.671978
24 0 2.92912 -0.473677 0.0829875 0.0534441 0.622708
24 0 3.56538 -0.0248289 0.267846 0.0282863 0.975477
24 0 4.22306 -0.477116 0.449239 0.0146538 0.62057
24 0 4.17754 -1.55441 0.265386 0.0153362 0.211314
26 0 1.07575 -0.289937 0.0256295 0.341043 0.748311
26 0 1.24671 -0.30271 0.0307991 0.287448 0.738813
26 0 1.43732 1.10362 0.156453 0.237563 3.01505
26 0 1.68727 -1.31593 0.0211776 0.185024 0.268225
26 0 1.80026 0.491243 0.14745 0.165256 1.63435
26 0 2.38455 -2.03266 0.0248631 0.0921308 0.130987
26 0 3.20262 -1.30622 0.119464 0.0406553 0.270842
26 0 3.54264 -0.582724 0.392969 0.0289369 0.558376
26 0 4.64512 -2.34993 0.333011 0.00960842 0.095376
30 0 0.925867 4.45561 0.478392 0.396188 86.1088
30 0 1.56361 -3.41034 0.000665679 0.209378 0.0330299
30 0 1.61381 -1.3901 0.00528068 0.199128 0.24905
30 0 3.32003 -4.85139 0.000917857 0.0361518 0.00781753
30 0 3.61435 0.0372179 0.163715 0.0269344 1.03792
30 0 3.97672 -0.134103 0.236969 0.0187471 0.8745
30 0 4.75211 -0.673207 0.393336 0.00863349 0.51007
30 0 5.4198 -2.96026 0.128392 0.00442804 0.0518056
32 0 1.33193 2.29253 0.415655 0.263968 9.89996
