# event jet log1overDelta logkt z Delta kt
50 0 1.51202 -2.81661 0.00550366 0.220464 0.0598085
51 0 1.00601 -2.46837 0.0040104 0.365674 0.0847229
51 0 1.13479 -0.746946 0.0255832 0.32149 0.473812
51 0 1.5918 -3.94397 0.00169526 0.203559 0.0193712
51 0 2.00792 -3.3806 0.0045223 0.134267 0.0340271
52 0 1.16565 -0.982295 0.0174148 0.311719 0.374451
52 0 1.46568 -2.84248 0.00372374 0.230922 0.0582809
52 0 2.48126 -3.03393 0.00852126 0.0836381 0.048126
53 0 1.67219 -2.88621 0.0047518 0.187835 0.0557873
55 0 0.934156 -3.5978 0.000845761 0.392917 0.0273838
55 0 1.1634 -0.60786 0.0211508 0.312423 0.544515
55 0 1.2105 -2.87794 0.00233981 0.298048 0.0562506
55 0 1.27458 -1.71574 0.00799242 0.279548 0.17983
55 0 2.24625 -1.2305 0.0345826 0.105795 0.292146
56 0 1.06439 -2.69579 0.00312713 0.344937 0.0674889
56 0 1.27196 -1.65952 0.0108816 0.280282 0.190231
57 0 1.24471 -2.16997 0.0116293 0.288025 0.114181
57 0 1.40712 -4.47187 0.00138504 0.244847 0.0114259
57 0 1.58921 -3.30356 0.00535178 0.204086 0.0367523
57 0 2.05516 -4.35969 0.00298198 0.128073 0.0127824
58 0 1.13139 -3.32904 0.00178149 0.322585 0.0358275
58 0 1.20874 -1.91506 0.00792745 0.298572 0.147333
59 0 1.19361 1.80566 0.295324 0.303126 6.08398
59 0 1.76158 0.300523 0.16388 0.171774 1.35056
59 0 1.84608 -1.37515 0.0399138 0.157855 0.252801
59 0 1.99214 -0.854572 0.0809687 0.136404 0.425465
59 0 2.41659 0.165715 0.373273 0.0892252 1.18024
59 0 2.86303 -0.463767 0.495965 0.0570956 0.62891
59 0 3.58734 -4.23318 0.0468293 0.0276719 0.0145062
60 0 1.03122 -3.71651 0.00308113 0.356573 0.0243188
61 0 1.05734 -3.78149 0.000865312 0.347379 0.0227887
62 0 1.07427 -0.47205 0.0273449 0.341547 0.623722
62 0 1.31442 -0.245422 0.044772 0.26863 0.782374
64 0 1.25063 -2.81033 0.00306971 0.286325 0.0601851
65 0 1.13076 -2.873 0.00210972 0.322788 0.056529
66 0 1.51547 -2.77137 0.00527762 0.219705 0.0625761
67 0 0.997265 -2.90253 0.00232626 0.368887 0.0548841
68 0 1.72201 -2.69511 0.00125536 0.178707 0.0675352
69 0 0.981141 -1.63439 0.00394576 0.374883 0.195071
69 0 1.59966 0.413057 0.056945 0.201965 1.51143
69 0 1.54862 -2.08469 0.0047201 0.21254 0.124346
69 0 2.21651 -1.01731 0.0268879 0.108988 0.361565
69 0 2.46046 0.318029 0.13405 0.0853955 1.37442
69 0 2.57421 0.372486 0.18309 0.0762139 1.45134
69 0 2.7842 -2.3574 0.0180345 0.0617786 0.0946662
69 0 2.92507 -1.1823 0.0684723 0.0536608 0.306573
69 0 3.0872 -0.0504939 0.26807 0.0456293 0.95076
69 0 3.48459 -2.27635 0.05884 0.0306663 0.102658
69 0 3.54301 -0.987192 0.240576 0.0289261 0.372622
69 0 4.22123 -2.0541 0.214765 0.0146805 0.128209
70 0 1.13263 -4.00137 0.000826513 0.322184 0.0182906
70 0 1.16792 -2.72786 0.00306171 0.311014 0.0653587
73 0 0.960196 -1.77654 0.00459357 0.382818 0.169222
73 0 1.55737 -3.45487 0.00156534 0.210689 0.0315913
74 0 1.46073 -2.30048 0.00395235 0.232068 0.100211
74 0 2.30888 -2.37073 0.00863804 0.0993722 0.093413
76 0 1.04774 -2.71158 0.00194367 0.35073 0.066432
77 0 0.941496 0.933363 0.136253 0.390044 2.54305
77 0 1.18507 -0.287866 0.0593062 0.305723 0.749862
77 0 1.74591 -0.0207141 0.144257 0.174487 0.979499
77 0 1.91823 -0.481049 0.126272 0.146866 0.618135
77 0 2.16733 -0.128223 0.263635 0.114483 0.879657
77 0 2.28293 -2.29004 0.0462559 0.101985 0.101262
77 0 2.69408 -0.691973 0.361646 0.0676045 0.500588
77 0 2.86615 -2.10723 0.163404 0.0569179 0.121574
77 0 3.30835 -1.85434 0.391354 0.0365765 0.156557
77 0 3.69287 -2.51594 0.487382 0.0249004 0.0807868
78 0 1.25822 0.212956 0.0720055 0.28416 1.23733
78 0 1.4293 -2.81333 0.004465 0.239476 0.060005
79 0 1.60666 -0.407491 0.0205674 0.200556 0.665317
79 0 1.81299 -4.705 0.000351097 0.163166 0.00904991
79 0 1.85759 -2.72613 0.00265682 0.156049 0.0654722
79 0 1.87059 -2.29342 0.00415981 0.154032 0.10092
79 0 3.08961 -4.48269 0.00158311 0.0455196 0.011303
83 0 1.05417 -0.906845 0.00888907 0.34848 0.403796
83 0 1.15035 -0.829899 0.0106613 0.316527 0.436093
83 0 2.03755 -3.67773 0.00151695 0.130348 0.0252804
84 0 1.38396 -3.74684 0.00145433 0.250584 0.0235922
86 0 0.999183 -0.444212 0.0308153 0.36818 0.641329
86 0 1.00737 -1.46979 0.011495 0.365179 0.229973
86 0 1.16787 -1.16668 0.0184822 0.311029 0.311399
86 0 3.32345 -3.15449 0.0222694 0.0360284 0.0426599
87 0 0.960932 -2.67191 0.00299221 0.382536 0.0691204
87 0 1.1481 -2.31833 0.00515382 0.31724 0.0984383
87 0 1.48841 -1.97623 0.0102489 0.225731 0.13859
88 0 1.16604 -3.26961 0.00173596 0.311598 0.0380212
89 0 1.05536 -2.23239 0.00486177 0.348067 0.107271
89 0 1.17081 -2.27882 0.00523385 0.310115 0.102405
