# event jet log1overDelta logkt z Delta kt
20 0 2.77675 -0.59799 0.193058 0.0622402 0.549916
22 0 1.41025 0.146141 0.117978 0.244081 1.15736
22 0 1.55525 -1.01023 0.0486024 0.211137 0.364137
22 0 1.93899 -2.5008 0.0168871 0.14385 0.0820193
22 0 2.22892 -0.14446 0.242209 0.107645 0.865489
22 0 2.8581 -4.30617 0.00934282 0.0573775 0.0134851
22 0 3.27331 -0.802502 0.474784 0.037881 0.448206
23 0 0.993866 0.0865176 0.0763873 0.370143 1.09037
23 0 1.25263 -1.02109 0.035369 0.285753 0.360201
23 0 1.53978 -1.59429 0.0275418 0.214427 0.203053
23 0 1.95626 -2.09807 0.0259479 0.141386 0.122693
23 0 2.18884 -0.591156 0.151695 0.112047 0.553687
23 0 2.42301 -0.111376 0.364859 0.0886541 0.894603
23 0 2.71388 -0.952689 0.3312 0.0662791 0.385703
23 0 2.7726 -3.51203 0.0406217 0.0624995 0.0298364
23 0 3.4863 -2.52587 0.23174 0.0306138 0.0799889
23 0 3.73183 -2.95063 0.252139 0.023949 0.0523068
24 0 0.987235 0.344506 0.12175 0.372605 1.41129
24 0 1.88469 -0.1583 0.205549 0.151876 0.853594
24 0 2.09269 -1.53038 0.0807597 0.123354 0.216452
24 0 2.7608 -3.82949 0.0171959 0.0632414 0.0217208
24 0 3.12516 -1.62884 0.227433 0.0439297 0.196157
24 0 3.46913 -1.92603 0.308464 0.0311441 0.145725
25 0 1.21569 0.844937 0.293402 0.296504 2.32783
25 0 1.66316 -0.815867 0.123297 0.189539 0.442256
25 0 1.91262 -0.30221 0.300996 0.147693 0.739183
25 0 2.42327 -3.68408 0.0243835 0.0886312 0.0251203
25 0 2.61058 -1.06081 0.415364 0.0734922 0.346177
26 0 1.21093 -0.318744 0.0950042 0.297919 0.727062
26 0 2.1483 -1.0765 0.125553 0.116683 0.340787
26 0 4.29646 -2.23029 0.388092 0.0136166 0.107497
27 0 1.35909 0.0214624 0.190854 0.256894 1.02169
27 0 1.67712 0.0407445 0.329768 0.186912 1.04159
27 0 2.16728 -0.790491 0.349311 0.114488 0.453622
27 0 2.79862 -1.72249 0.39734 0.0608938 0.178621
28 0 0.982615 1.0481 0.317899 0.374331 2.85223
28 0 1.27714 -2.769 0.0137525 0.278834 0.062725
28 0 1.42957 -1.18127 0.0794005 0.239413 0.30689
28 0 2.17109 -1.37485 0.149064 0.114053 0.252878
28 0 2.49594 -1.62218 0.189216 0.0824187 0.197468
28 0 2.5225 -1.30559 0.328873 0.080259 0.271013
28 0 3.63918 -3.46116 0.173396 0.0262738 0.0313932
29 0 0.988612 0.48825 0.146962 0.372093 1.62946
29 0 1.20378 -1.5038 0.0291103 0.300058 0.222284
29 0 1.55808 0.939648 0.491947 0.210541 2.55908
29 0 1.97113 -0.622084 0.306689 0.139299 0.536825
29 0 3.47403 -2.02192 0.490377 0.0309918 0.132402
30 0 1.34582 0.810495 0.199382 0.260327 2.24902
30 0 1.92739 -0.369862 0.136794 0.145528 0.69083
30 0 2.53881 -0.821163 0.185956 0.07896 0.43992
30 0 3.68234 -3.46482 0.0509639 0.0251641 0.0312788
31 0 0.985135 -0.483139 0.0326655 0.373389 0.616844
31 0 1.02147 -0.310264 0.0415388 0.360065 0.733254
31 0 1.18687 -0.29141 0.0521015 0.305176 0.747209
31 0 1.93411 -2.42244 0.0137741 0.144553 0.0887046
31 0 2.1988 -0.00392613 0.204311 0.110936 0.996082
31 0 2.62462 -0.210747 0.319503 0.0724673 0.809979
31 0 3.33995 -1.94658 0.16922 0.0354387 0.142762
31 0 3.77143 -2.96778 0.112939 0.023019 0.0514173
31 0 4.23552 -2.78053 0.244212 0.0144722 0.0620057
33 0 0.931583 -0.0441321 0.0792133 0.39393 0.956828
33 0 1.42285 -1.06014 0.0509025 0.241025 0.346408
33 0 1.97507 0.423229 0.409723 0.138752 1.52688
33 0 2.41662 -0.727731 0.341428 0.0892231 0.483003
