# event jet log1overDelta logkt z Delta kt
10 0 1.08014 -0.250321 0.00304649 0.339549 0.778551
10 0 1.15469 -2.32566 0.000413234 0.315155 0.0977192
10 0 1.18906 2.05776 0.0342488 0.304508 7.82838
10 0 1.82464 1.16187 0.0273263 0.161275 3.19589
10 0 2.27525 0.424583 0.0210897 0.102771 1.52895
10 0 2.73248 -0.163103 0.0189086 0.0650574 0.849504
10 0 3.38042 2.09154 0.35113 0.0340331 8.09738
10 0 3.47412 -0.140029 0.0638033 0.0309892 0.869333
10 0 4.01136 -1.93527 0.01937 0.0181088 0.144385
10 0 4.13622 0.851703 0.363252 0.0159832 2.34364
10 0 4.47234 -0.463283 0.21435 0.0114205 0.629215
10 0 4.62231 -0.192128 0.415703 0.00983008 0.825201
10 0 4.92415 -2.11494 0.14066 0.00726891 0.120641
10 0 5.60122 -3.9308 0.0524124 0.00369336 0.0196279
11 0 1.50393 3.01596 0.220332 0.222254 20.4086
11 0 1.56369 -1.47188 0.00337348 0.209362 0.229494
11 0 1.84963 1.67377 0.104672 0.157295 5.33225
11 0 1.99731 -2.64896 0.00179737 0.135699 0.0707244
11 0 2.07641 1.01608 0.0760794 0.12538 2.76234
11 0 2.19937 2.47753 0.401424 0.110873 11.9118
11 0 2.74266 1.41201 0.397793 0.0643989 4.10421
12 0 1.22424 -1.20105 0.00181469 0.29398 0.300878
12 0 1.32872 -1.22333 0.00197373 0.264816 0.294248
12 0 1.62625 0.573553 0.0160567 0.196665 1.77456
12 0 2.35697 -0.339439 0.0135987 0.0947072 0.71217
12 0 2.4219 -4.21564 0.000304954 0.0887528 0.0147629
12 0 2.66812 -0.244491 0.0206984 0.0693825 0.783103
12 0 3.58714 -4.31239 0.000906736 0.0276773 0.0134015
12 0 3.63392 -1.72822 0.0126033 0.0264123 0.177601
12 0 3.8164 -0.125135 0.0761103 0.0220069 0.882378
12 0 4.49904 -0.488627 0.113352 0.0111196 0.613468
12 0 4.44538 0.650464 0.3785 0.0117327 1.91643
12 0 5.11813 -1.05286 0.217295 0.00598723 0.348938
12 0 5.94149 -2.06498 0.229866 0.00262811 0.126821
12 0 7.38612 -6.34503 0.0175186 0.000619798 0.00175545
13 0 1.28074 2.35164 0.0705492 0.277833 10.5028
13 0 1.83833 0.919435 0.0316537 0.159083 2.50787
14 0 1.34794 1.62114 0.0319946 0.259775 5.05884
14 0 2.28023 0.881474 0.0400669 0.10226 2.41446
14 0 2.35505 1.73951 0.106088 0.0948891 5.69454
14 0 2.55066 1.35781 0.0985244 0.0780303 3.88766
14 0 2.96585 2.18072 0.376857 0.0515167 8.85268
15 0 1.11326 3.54299 0.144025 0.328488 34.5702
15 0 1.28458 -0.447649 0.00369205 0.276766 0.639129
15 0 2.86482 -0.188973 0.0233075 0.0569934 0.827809
15 0 2.87743 -2.27421 0.00300333 0.0562794 0.102878
15 0 3.57334 -1.17645 0.018109 0.0280618 0.308372
15 0 4.24625 -0.0270944 0.114085 0.0143178 0.973269
15 0 4.21277 -2.45802 0.0109536 0.0148052 0.0856039
15 0 4.89641 -0.972394 0.0969263 0.00747335 0.378177
15 0 5.19862 -0.999334 0.14134 0.00552418 0.368125
15 0 6.01158 -0.954787 0.388022 0.00245021 0.384894
16 0 1.5182 -0.750356 0.00398199 0.219107 0.472199
16 0 1.59274 -0.963059 0.003482 0.203369 0.381724
16 0 1.87135 -0.888127 0.00497609 0.153915 0.411426
16 0 1.95641 -0.718042 0.00645407 0.141365 0.487706
16 0 2.26858 -0.221252 0.0145866 0.103459 0.801515
16 0 3.01525 -3.00655 0.00192739 0.0490337 0.0494619
16 0 3.21176 -0.627947 0.025361 0.0402857 0.533686
16 0 3.47075 -2.63059 0.00455055 0.0310937 0.0720359
16 0 3.9388 -1.22944 0.0296364 0.0194715 0.292455
16 0 4.08503 -0.358723 0.0844389 0.0168226 0.698568
16 0 4.51245 -1.64185 0.0391945 0.0109716 0.193622
16 0 5.15798 -1.13257 0.129454 0.00575329 0.322203
16 0 5.24392 -0.147992 0.433756 0.00527952 0.862438
16 0 5.61414 -2.77507 0.0801864 0.00364593 0.0623449
17 0 1.16183 -1.37396 0.00106108 0.312912 0.253103
17 0 1.1645 2.77722 0.0675014 0.312079 16.0743
17 0 1.36754 2.6487 0.0779646 0.254733 14.1356
17 0 1.50531 0.0180056 0.00698944 0.221948 1.01817
17 0 1.88581 2.28499 0.0993736 0.151707 9.82556
17 0 1.94874 2.88338 0.213424 0.142453 17.8746
17 0 2.24455 2.39869 0.224503 0.105975 11.0087
17 0 2.90492 -2.74452 0.00327169 0.054753 0.0642794
17 0 2.9443 -1.50601 0.0117806 0.0526391 0.221793
17 0 3.3458 -0.219234 0.0644929 0.035232 0.803134
17 0 3.56039 -0.770349 0.0492393 0.0284278 0.462852
17 0 4.80099 -1.65911 0.0736275 0.00822164 0.190308
17 0 5.84065 -1.0938 0.395629 0.00290694 0.334941
18 0 1.41086 0.775849 0.01525 0.243933 2.17244
18 0 2.04647 1.8535 0.085886 0.12919 6.3821
18 0 2.09478 2.01505 0.115847 0.123097 7.50108
18 0 2.49486 1.19039 0.0856823 0.0825077 3.28838
19 0 1.52089 2.03945 0.0680857 0.218517 7.6864
19 0 2.01173 -3.38188 0.000527702 0.133757 0.0339834
19 0 2.09764 -4.15837 0.000264669 0.122746 0.015633
19 0 2.69508 1.73618 0.174683 0.0675372 5.6756
19 0 3.01191 -6.05967 0.000119547 0.0491977 0.00233518
19 0 4.35693 -0.18403 0.163486 0.0128177 0.831911
20 0 1.12531 -1.07594 0.00180555 0.324553 0.340978
20 0 1.35127 -3.04123 0.000317698 0.258912 0.0477762
20 0 1.39425 -3.00653 0.000343467 0.248018 0.0494629
20 0 1.626 -4.14836 0.00013829 0.196714 0.0157903
20 0 2.05784 -1.81232 0.00220253 0.127729 0.163276
20 0 2.49097 -3.4967 0.000631637 0.0828296 0.0302973
20 0 2.61489 0.28066 0.0312624 0.0731759 1.324
20 0 3.44181 -0.333777 0.0399112 0.0320067 0.716213
20 0 3.88613 0.548744 0.15668 0.0205246 1.73108
20 0 4.54329 -0.796558 0.0933613 0.0106383 0.450878
20 0 4.77539 -1.47406 0.0659617 0.00843482 0.228993
20 0 6.9102 -2.89032 0.144875 0.00099756 0.0555586
21 0 1.18804 -0.725287 0.00313707 0.304818 0.484185
21 0 1.23596 0.465408 0.0108552 0.290556 1.59266
21 0 1.56165 0.0671102 0.0102052 0.209789 1.06941
21 0 2.13642 -1.77747 0.002896 0.118076 0.169065
21 0 2.56655 -3.94333 0.000511963 0.0768 0.0193835
21 0 2.87188 0.604418 0.0656302 0.0565922 1.83019
21 0 3.29038 0.540068 0.100085 0.0372396 1.71612
21 0 3.84344 0.154339 0.131473 0.0214198 1.16689
21 0 4.17128 -1.16225 0.0563179 0.0154325 0.312781
21 0 4.22761 -0.574453 0.113647 0.0145872 0.563013
21 0 5.58826 -0.979081 0.333536 0.00374155 0.375656
21 0 5.98008 -1.53259 0.42574 0.00252863 0.215975
22 0 1.10637 2.93736 0.102678 0.330757 18.866
22 0 1.26066 -2.16504 0.00081206 0.283468 0.114745
22 0 1.29422 -0.882544 0.00303038 0.27411 0.413729
22 0 1.81187 1.60037 0.061056 0.163348 4.95484
22 0 2.0101 -0.433288 0.0103742 0.133975 0.648374
22 0 2.11754 2.69589 0.266744 0.120327 14.8186
22 0 2.77447 0.862888 0.112209 0.0623826 2.37
22 0 3.31765 0.363577 0.13206 0.0362379 1.43847
22 0 3.49887 -1.50397 0.0281783 0.0302314 0.222246
22 0 4.65 -0.399203 0.276724 0.0095616 0.670854
22 0 4.81108 -0.826473 0.293181 0.0081391 0.43759
23 0 1.02961 1.70179 0.0276667 0.357147 5.48375
